FID,OBJECTID,Match_addr,x,y,ICount,Region,Comuna,Calle_1,Calle_2,Numero,Accid_bici,Falle_bici,Grave_bici,Mgrav_bici,Leve_bici,Ileso_bici
567,597,"LOS GLADIOLOS & TRANSIT, ESTACION CENTRAL",341998.8836,6296345.1883,1,REGION METROPOLITANA,ESTACION CENTRAL,LOS GLADIOLOS,TRANSIT, ,1,0,0,0,0,1
568,598,"LOS INDUSTRIALES & PEDRO DE VALDIVIA, MACUL",350775.8985,6293586.6263,1,REGION METROPOLITANA,MACUL,LOS INDUSTRIALES,PEDRO DE VALDIVIA, ,1,0,0,0,1,0
569,599,"LOS JARDINES & MEXICO, PUENTE ALTO",354726.4934,6283960.6007,1,REGION METROPOLITANA,PUENTE ALTO,LOS JARDINES,MEXICO, ,1,0,0,0,1,0
570,600,"LOS LEONES & CARLOS ANTUNEZ, PROVIDENCIA",350923.2807,6300210.9995,1,REGION METROPOLITANA,PROVIDENCIA,LOS LEONES,CARLOS ANTUNEZ, ,1,0,0,1,0,0
571,601,"LOS LEONES & DOCTOR PEDRO LAUTARO FERRER, PROVIDENCIA",351353.5087,6298301.3599,1,REGION METROPOLITANA,PROVIDENCIA,LOS LEONES,DOCTOR PEDRO LAUTARO FERRER, ,1,0,1,0,0,0
572,602,"LOS LEONES & EL AGUILUCHO, PROVIDENCIA",351335.7124,6298430.5993,1,REGION METROPOLITANA,PROVIDENCIA,LOS LEONES,EL AGUILUCHO, ,1,0,0,0,1,0
573,603,"LOS LEONES & ELIODORO YANEZ, PROVIDENCIA",350998.4057,6299894.4998,1,REGION METROPOLITANA,PROVIDENCIA,LOS LEONES,ELIODORO YANEZ, ,1,0,0,0,1,0
574,604,"LOS LIBERTADORES & AMERICO VESPUCIO, HUECHURABA",343623.2209,6306749.1176,1,REGION METROPOLITANA,HUECHURABA,AMERICO VESPUCIO, ,1737,1,0,0,0,1,0
575,605,"LOS MANGOS & LOS CASTANOS, PUENTE ALTO",352090.8999,6282223.6002,1,REGION METROPOLITANA,PUENTE ALTO,LOS MANGOS,LOS CASTANOS, ,1,0,0,0,1,0
576,606,"LOS MOLINEROS & DIPUTADA LAURA RODRIGUEZ, PENALOLEN",354335.4281,6295752.51,1,REGION METROPOLITANA,PENALOLEN,LOS MOLINEROS,DIPUTADA LAURA RODRIGUEZ, ,1,0,0,0,1,0
577,607,"LOS MORROS & EL LIBERTADOR, EL BOSQUE",344727.9761,6284394.2955,1,REGION METROPOLITANA,EL BOSQUE,LOS MORROS,EL LIBERTADOR, ,1,0,0,0,1,0
578,608,"LOS MORROS & LO MORENO, EL BOSQUE",344478.3058,6283253.6002,1,REGION METROPOLITANA,EL BOSQUE,LOS MORROS,LO MORENO, ,1,0,0,0,1,0
579,609,"LOS MORROS & LOS CISNES, EL BOSQUE",344706.9046,6284266.0219,1,REGION METROPOLITANA,EL BOSQUE,LOS MORROS,LOS CISNES, ,1,0,0,0,1,0
580,610,"LOS NARDOS & SAN JORGE, LA FLORIDA",353190.9934,6285602.6005,1,REGION METROPOLITANA,LA FLORIDA,LOS NARDOS,SAN JORGE, ,1,0,0,0,0,1
581,611,"LOS NOGALES & MANUEL ANTONIO MATTA, QUILICURA",338602.7123,6307029.5991,1,REGION METROPOLITANA,QUILICURA,LOS NOGALES,MANUEL ANTONIO MATTA, ,1,0,1,0,0,0
582,612,"LOS PAJARITOS & TENIENTE CRUZ, PUDAHUEL",338592.4882,6295114.8187,3,REGION METROPOLITANA,PUDAHUEL,LOS PAJARITOS,TENIENTE CRUZ, ,3,0,0,0,3,0
583,613,"LOS PLATANOS & BROWN SUR, MACUL",351760.2289,6294100.3935,1,REGION METROPOLITANA,MACUL,LOS PLATANOS,BROWN SUR, ,1,0,0,0,1,0
584,614,"LOS PRESIDENTES & CARACAS, PENALOLEN",354345.1507,6294036.9032,1,REGION METROPOLITANA,PENALOLEN,LOS PRESIDENTES,CARACAS, ,1,0,0,0,1,0
585,615,"LOS RAULIES & AEROPUERTO, QUILICURA",338167.1681,6305152.4379,1,REGION METROPOLITANA,QUILICURA,LOS RAULIES,AEROPUERTO, ,1,0,0,0,1,0
586,616,"LOS TALLADORES & DEPARTAMENTAL, PENALOLEN",354211.7371,6290956.8415,1,REGION METROPOLITANA,PENALOLEN,LOS TALLADORES,DEPARTAMENTAL, ,1,0,0,0,1,0
587,617,"LOS TOROS & NAVARRA, PUENTE ALTO",355475.2407,6284816.6099,1,REGION METROPOLITANA,PUENTE ALTO,LOS TOROS,NAVARRA, ,1,0,0,0,1,0
588,618,"LOS ZAPADORES & BOGOTA, RECOLETA",347026.9369,6304283.9994,1,REGION METROPOLITANA,RECOLETA,LOS ZAPADORES,BOGOTA, ,1,0,0,1,0,0
