X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.704247,-33.432228,222,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131260174,JOSE JOAQUIN PEREZ,131260334,RADAL,0,0,0,1,0,BICICLETA,0,0,1,0,1
-70.704025,-33.429855,223,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131260334,RADAL,131260092,CONSUL POINSETT,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.703789,-33.4176289999999,224,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260061,CALLE 9,131260212,LO ESPINOZA,0,0,0,0,0,BICICLETA,0,0,0,0,1
-70.703613,-33.607784,225,2018,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,134010115,BARROS ARANA, , ,1439,0,0,0,1,BICICLETA,0,0,0,1,1
-70.703514,-33.456924,226,2018,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131060407,LIBER BERNARDO O`HIGGINS,131060248,GEMINIS,0,0,0,0,0,BICICLETA,0,0,0,0,1
-70.7034079999999,-33.4566573999999,227,2018,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131060407,LIBER BERNARDO O`HIGGINS,131060528,PABLO NERUDA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.7032566999999,-33.4458182,228,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131260267,NVA IMPERIAL,131260097,COST SUR,0,0,0,0,0,BICICLETA,0,0,0,0,1
-70.703239,-33.456863,229,2018,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131060407,LIBER BERNARDO O`HIGGINS, , ,4860,0,0,0,0,BICICLETA,0,0,0,0,1
-70.702858,-33.32962,230,2018,1,13125,QUILICURA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131250661,SAN IGNACIO, , ,201,0,0,0,1,BICICLETA,0,0,0,1,1
-70.702652,-33.445972,231,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131260267,NVA IMPERIAL,131260334,RADAL,0,0,0,0,2,BICICLETA,0,0,0,2,2
