FID,ICOUNT,Comuna,Cód_Región,Región,País,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes,Falle_bici,Grave_bici,Mgrav_bici,leve_bici
562,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,FERMIN VIVACETA,SANTOS DUMONT,0,FERMIN VIVACETA / SANTOS DUMONT,0,0,0,1,1,0,0,0,1
563,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,CRUZ,ESCANILLA,0,CRUZ / ESCANILLA,0,0,0,1,1,0,0,0,1
564,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,INDEPENDENCIA,INGLATERRA,0,INDEPENDENCIA / INGLATERRA,0,0,0,1,1,0,0,0,1
565,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,HIPODROMO CHILE,EL GUANACO,0,HIPODROMO CHILE / EL GUANACO,0,0,0,1,1,0,0,0,1
566,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,INDEPENDENCIA,OLIVOS,0,INDEPENDENCIA / OLIVOS,0,0,0,1,1,0,0,0,1
567,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,ECHEVERRIA,INDEPENDENCIA,0,ECHEVERRIA / INDEPENDENCIA,0,1,0,0,1,0,1,0,0
568,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,SAN JOSE,DOMINGO SANTA MARIA,0,SAN JOSE / DOMINGO SANTA MARIA,0,0,0,1,1,0,0,0,1
569,1,RECOLETA,13,REGION METROPOLITANA,Chile,FARINA,OLIVOS,0,FARINA / OLIVOS,0,0,0,1,1,0,0,0,1
570,1,CONCHALI,13,REGION METROPOLITANA,Chile,DIEGO SILVA HENRIQUEZ,TUPUNGATO,0,DIEGO SILVA HENRIQUEZ / TUPUNGATO,0,0,0,0,1,0,0,0,0
571,3,CONCHALI,13,REGION METROPOLITANA,Chile,DORSAL,INDEPENDENCIA,0,DORSAL / INDEPENDENCIA,0,2,1,0,3,0,2,1,0
572,1,CONCHALI,13,REGION METROPOLITANA,Chile,LA PALMILLA,TENIENTE PONCE,0,LA PALMILLA / TENIENTE PONCE,0,0,0,1,1,0,0,0,1
573,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,INDEPENDENCIA, ,1950,INDEPENDENCIA 1950,0,1,0,0,1,0,1,0,0
