FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
242,"PRESIDENTE EDUARDO FREI MONTALVA & CAMINO PRIVADO, RENCA",0,0,0,1,1
243,"INDIO JERONIMO & LUIS BARROS BORGONO, EL BOSQUE",0,0,1,0,1
244,"INDIO JERONIMO & GENERAL KORNER, EL BOSQUE",0,0,0,1,1
245,"12552 GRAN AVENIDA JOSE MIGUEL CARRERA, EL BOSQUE",0,0,0,1,1
246,"ANDES & RIVAS VICUNA, QUINTA NORMAL",0,0,1,0,1
247,"MARTINEZ DE ROZAS & RIVAS VICUNA, QUINTA NORMAL",0,0,0,1,1
248,"3505 IRENE FREI, ESTACION CENTRAL",0,0,0,0,1
249,"17 CENTRAL, EL BOSQUE",0,0,0,1,1
250,"3725 CARRASCAL, QUINTA NORMAL",0,0,0,1,1
251,"CARDENAL JOSE MARIA CARO & ERNESTO RIED, CONCHALI",0,0,0,1,1
252,"ANDES & JUAN MIRANDA, QUINTA NORMAL",0,0,0,1,1
253,"3411 MAPOCHO, QUINTA NORMAL",0,0,0,1,1
254,"5 DE ABRIL & DOLORES, ESTACION CENTRAL",0,0,0,1,1
255,"VICTOR PLAZA MAYORGA & ANTONIO BORQUEZ DEL SOLAR, EL BOSQUE",0,0,0,2,1
256,"VENTURA LAUREDA & PUERTO RICO, CONCHALI",0,0,0,1,1
257,"3296 CARRASCAL, QUINTA NORMAL",0,0,0,1,1
258,"MAIPU & DEPARTAMENTAL, PEDRO AGUIRRE CERDA",0,0,2,0,1
259,"2050 PRESIDENTE EDUARDO FREI MONTALVA, RENCA",0,0,0,1,1
260,"NUEVA LEON & LO MARTINEZ, EL BOSQUE",0,0,0,1,1
261,"808 MATUCANA, QUINTA NORMAL",0,0,0,1,1
262,"FERMIN VIVACETA & LOS ZAPADORES, CONCHALI",0,0,0,1,1
263,"GUANAJUATO & GUADALAJARA, LO ESPEJO",0,0,0,1,1
264,"YUNGAY & UNIDAD POPULAR, PEDRO AGUIRRE CERDA",0,1,0,0,1
265,"PORTALES & MATUCANA, SANTIAGO",1,0,1,0,1
266,"56 MATUCANA, ESTACION CENTRAL",0,1,0,0,1
267,"GOYCOLEA & LA VENDIMIA, LA CISTERNA",0,0,0,1,1
268,"AMERICO VESPUCIO & AMERICO VESPUCIO, HUECHURABA",0,0,0,1,1
269,"7280 SANTA MARTA DE HUECHURABA, HUECHURABA",0,0,0,1,1
270,"LIBERTADOR BERNARDO O`HIGGINS & MATUCANA, ESTACION CENTRAL",0,0,0,1,1
271,"18 DE SEPTIEMBRE & FLORA TORRES, EL BOSQUE",0,0,1,0,1
272,"MARIQUINA & 1 DE MAYO, PEDRO AGUIRRE CERDA",0,0,0,2,1
273,"FERMIN VIVACETA & EL OLIVO, CONCHALI",0,1,0,0,1
